’èíŒvŽZ‚É‚æ‚é•‰‰×‚ð”ñ’èíŒvŽZ‚É‚æ‚é•‰‰×‚ÉŠ·ŽZ‚·‚é‚½‚ß‚ÌŒW”ˆê——i‘Î”äŒW”ˆ——pExcelƒtƒ@ƒCƒ‹‚©‚çƒRƒs[j,,,,,,,,,,,,,,,,,,,2012.1.31 Œš’zŠÂ‹«ƒ\ƒŠƒ…[ƒVƒ‡ƒ“ƒY@‹{“‡,,,,,,,,,,
Ø•Ð‚Ì’PˆÊ‚Í[Wh/m2“ú],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Œš•¨—p“r,Žº—p“r,‘O“ú‹ó’²—L–³,ŠúŠÔ,ŠO—,•‰‰×Ží•Ê,,–kŒ©,,,ŠâŒ©‘ò,,,·‰ª,,,’·–ì,,,‰F“s‹{,,,‰ªŽR,,,‹{è,,,“ß”e,
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,188,0,0,266,0,0,237,0,0,278,0,0,177,0,0,291,0,0,215,-0.02,0,63
,,,,,’g–[•‰‰×,0.72,-44,-187,0.71,-47,-267,0.72,-49,-245,0.73,-41,-272,0.74,-30,-154,0.73,-27,-260,0.73,-37,-196,0.73,-14,-14
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,49,0,0.64,79,0,0.63,87,0,0.65,88,0,0.66,84,0,0.7,60,0,0.67,99,0,0.71,49,0
•a‰@“™,•aŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,243,-0.01,0,274,0,5,242,0.11,15,257,0.34,21,302,0.56,24,370,0.49,21,360,0.72,13,405
,,,,,’g–[•‰‰×,0.88,-16,-205,0.9,-9,-237,0.89,-9,-202,0.88,-11,-198,0.85,-15,-223,0.74,-24,-294,0.84,-18,-262,0.78,-13,-333
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,168,0,0,146,0,0,151,0,0,174,0,0,243,0,0,214,0,0,247,0.34,10,297
,,,,,’g–[•‰‰×,0.9,-37,-201,0.89,-37,-174,0.89,-39,-183,0.89,-38,-199,0.89,-33,-247,0.89,-28,-216,0.89,-23,-233,0.87,-12,-205
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,206,0,0,222,0,0,198,0,0,229,0.01,3,245,0.01,9,274,0,0,256,0.03,4,262
,,,,,’g–[•‰‰×,0.89,-23,-199,0.89,-22,-213,0.89,-23,-197,0.9,-20,-216,0.9,-14,-218,0.9,-13,-241,0.89,-17,-231,0.89,-8,-210
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
•a‰@“™,ŠO—ˆf—Ã,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.1,0,124,0,0,202,-0.09,-3,121,0.04,5,231,0.24,9,258,0.55,12,56,0.43,11,288,0.68,6,50
,,,,,’g–[•‰‰×,0.64,-36,-177,0.69,-19,-204,0.65,-23,-142,0.71,-10,-216,0.66,-17,-228,0.58,-17,-17,0.67,-15,-230,0.59,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.62,76,0,0.59,93,0,0.61,77,0,0.58,85,0,0.59,73,0,0.63,59,0,0.58,88,0,0.67,50,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,99,0,0,89,0,0,109,0,0,133,0,0,171,0,0,150,0,0,215,-0.38,6,174
,,,,,’g–[•‰‰×,0.64,-126,-245,0.64,-118,-227,0.62,-129,-255,0.6,-136,-278,0.59,-123,-293,0.63,-92,-243,0.6,-89,-295,0.63,-28,-248
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.67,73,0,0.6,102,0,0.56,123,0,0.54,144,0,0.56,159,0,0.64,92,0,0.58,137,0,0.62,68,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,122,0,0,137,0,0,128,0,0,170,0,0,131,0,0,166,0,0,136,0,0,23
,,,,,’g–[•‰‰×,0.66,-60,-179,0.61,-70,-205,0.65,-67,-197,0.64,-61,-227,0.66,-44,-165,0.63,-47,-198,0.64,-53,-176,0.6,-26,-26
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,59,0,0.58,99,0,0.57,104,0,0.58,107,0,0.63,99,0,0.65,78,0,0.63,111,0,0.62,78,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,279,0,0,240,0,0,235,0.22,16,210,0.02,3,210,0.31,42,44,0.65,19,392,0.87,14,31
,,,,,’g–[•‰‰×,0.97,-43,-333,0.92,-48,-301,1.08,-24,-270,1.08,-9,-192,0.99,-14,-226,0.99,-26,-26,0.94,-32,-349,0.8,-19,-19
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,157,0,0.61,240,0,0.75,137,0,0.76,167,0,0.74,130,0,0.91,114,0,0.82,157,0,0.93,100,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,84,0,0,94,0,0,108,0,0,108,0,0,216,0,0,184,0,0,208,0,0,314
,,,,,’g–[•‰‰×,0.92,-202,-352,0.85,-215,-371,0.82,-237,-401,0.78,-259,-419,0.79,-240,-483,0.82,-158,-375,0.79,-137,-361,0.72,-80,-406
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,249,0,0.82,154,0,0.67,222,0,0.66,246,0,0.7,329,0,0.77,163,0,0.67,250,0,0.68,125,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,145,0,0,193,0,0,151,0,0,187,0,0,178,0,0,202,0,0,213,0,0,318
,,,,,’g–[•‰‰×,0.83,-150,-333,0.93,-116,-335,0.79,-176,-362,0.85,-145,-361,0.82,-125,-323,0.82,-112,-328,0.83,-103,-324,0.91,-29,-344
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.94,91,0,0.78,178,0,0.61,222,0,0.6,251,0,0.68,236,0,0.79,182,0,0.84,193,0,0.76,132,0
•a‰@“™,’†‰›f—Ã,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.09,1,1,0,0,119,-0.05,-2,41,0.06,5,44,0.32,10,65,0.63,12,76,0.52,11,83,0.74,5,68
,,,,,’g–[•‰‰×,0.71,-28,-28,0.74,-15,-104,0.69,-19,-38,0.75,-7,-7,0.72,-12,-12,0.63,-15,-15,0.71,-12,-12,0.65,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,67,0,0.63,88,0,0.65,71,0,0.62,79,0,0.63,67,0,0.68,52,0,0.63,82,0,0.72,43,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,91,0,0,68,0,0,84,0,0,84,0,0,105,0,0,42,0,0,109,-0.66,7,7
,,,,,’g–[•‰‰×,0.68,-111,-210,0.69,-102,-178,0.67,-113,-201,0.65,-121,-201,0.64,-110,-200,0.68,-78,-108,0.65,-77,-164,0.68,-26,-26
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,65,0,0.64,94,0,0.61,115,0,0.59,134,0,0.6,149,0,0.69,81,0,0.63,126,0,0.68,59,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,15,0,0,16,0,0,44,0,0,45,0,0,24,0,0,29,0,0,27,0,0,38
,,,,,’g–[•‰‰×,0.7,-50,-50,0.66,-61,-61,0.69,-57,-89,0.69,-53,-80,0.7,-39,-39,0.68,-40,-40,0.68,-47,-47,0.66,-22,-22
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,51,0,0.62,90,0,0.61,97,0,0.62,100,0,0.66,92,0,0.69,68,0,0.67,103,0,0.67,68,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,351,0,0,313,0,0,295,4.58,-7,704,0.02,2,2,0.52,40,40,0.78,20,477,0.97,15,15
,,,,,’g–[•‰‰×,1.1,-41,-431,1.04,-48,-401,1.2,-24,-357,1.21,-8,-280,1.12,-13,-13,1.09,-27,-27,1.06,-31,-447,0.93,-19,-19
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.84,166,0,0.65,255,0,0.82,142,0,0.82,175,0,0.81,136,0,1,111,0,0.89,163,0,1.01,102,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,107,0,0,122,0,0,132,0,0,140,0,0,227,0,0,183,0,0,154,0,0,0
,,,,,’g–[•‰‰×,1.03,-203,-405,0.97,-215,-426,0.94,-233,-445,0.89,-262,-479,0.9,-244,-520,0.93,-158,-397,0.89,-135,-327,0.83,-79,-79
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,260,0,0.88,161,0,0.74,230,0,0.71,256,0,0.75,345,0,0.83,168,0,0.74,256,0,0.77,124,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,162,0,0,217,0,0,194,0,0,224,0,0,214,0,0,288,0,0,290,0,0,427
,,,,,’g–[•‰‰×,0.95,-152,-382,1.06,-112,-384,0.91,-176,-433,0.96,-146,-424,0.93,-127,-385,0.93,-113,-439,0.93,-105,-426,1.03,-29,-475
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.02,94,0,0.86,185,0,0.65,234,0,0.65,263,0,0.73,250,0,0.85,191,0,0.91,201,0,0.83,133,0
•a‰@“™,ICU,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,113,-0.01,0,105,0,5,108,0.11,15,130,0.34,21,155,0.56,24,166,0.49,21,183,0.72,13,162
,,,,,’g–[•‰‰×,0.88,-16,-16,0.9,-9,-9,0.89,-9,-9,0.88,-11,-11,0.85,-15,-15,0.74,-24,-24,0.84,-18,-18,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,376,0,0,331,0,0,419,0,0,423,0,0,534,0,0,86,0,0,719,0.34,10,164
,,,,,’g–[•‰‰×,0.9,-37,-344,0.89,-37,-295,0.89,-39,-392,0.89,-38,-388,0.89,-33,-479,0.89,-28,-28,0.89,-23,-645,0.87,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,89,0,0,91,0,0,417,0,0,622,0.01,3,101,0.01,9,106,0,0,102,0.03,4,119
,,,,,’g–[•‰‰×,0.89,-23,-23,0.89,-22,-22,0.89,-23,-355,0.9,-20,-550,0.9,-14,-14,0.9,-13,-13,0.89,-17,-17,0.89,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
•a‰@“™,H“°”„“X,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.28,-1,113,0,0,251,-0.05,0,222,0.11,8,209,0.39,14,75,0.59,13,80,0.48,14,92,0.71,7,75
,,,,,’g–[•‰‰×,0.7,-27,-188,0.71,-19,-238,0.72,-15,-215,0.74,-9,-166,0.71,-13,-13,0.65,-16,-16,0.71,-13,-13,0.66,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.67,58,0,0.63,81,0,0.63,69,0,0.63,71,0,0.63,62,0,0.69,46,0,0.64,72,0,0.71,40,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,120,0,0,113,0,0,126,0,0,145,0,0,192,0,0,187,0,0,232,-0.2,7,227
,,,,,’g–[•‰‰×,0.71,-87,-208,0.7,-85,-196,0.69,-91,-219,0.68,-90,-230,0.68,-80,-253,0.69,-66,-238,0.69,-55,-262,0.68,-23,-251
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,66,0,0.65,83,0,0.62,99,0,0.6,116,0,0.64,124,0,0.68,72,0,0.62,112,0,0.65,54,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,156,0,0,188,0,0,167,0,0,198,0,0,169,0,0,233,0,0,220,-0.04,0,33
,,,,,’g–[•‰‰×,0.7,-49,-187,0.68,-52,-221,0.7,-53,-207,0.71,-45,-223,0.71,-33,-176,0.71,-30,-232,0.7,-40,-231,0.7,-16,-16
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,53,0,0.62,84,0,0.6,92,0,0.62,92,0,0.64,88,0,0.67,66,0,0.64,104,0,0.69,54,0
•a‰@“™,Ž––±Žº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.11,0,147,0,0,207,-0.08,-2,111,0.05,5,247,0.3,10,264,0.56,12,63,0.47,12,281,0.71,6,57
,,,,,’g–[•‰‰×,0.65,-39,-199,0.71,-20,-205,0.68,-21,-123,0.74,-10,-225,0.68,-17,-222,0.62,-16,-16,0.69,-15,-214,0.62,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,77,0,0.6,95,0,0.62,79,0,0.6,85,0,0.6,76,0,0.67,56,0,0.61,87,0,0.7,50,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,107,0,0,98,0,0,120,0,0,144,0,0,189,0,0,168,0,0,240,-0.68,7,115
,,,,,’g–[•‰‰×,0.66,-124,-247,0.66,-119,-233,0.64,-132,-265,0.63,-133,-283,0.62,-121,-305,0.65,-93,-257,0.61,-92,-319,0.65,-28,-234
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,73,0,0.62,103,0,0.58,123,0,0.56,144,0,0.59,158,0,0.66,92,0,0.6,138,0,0.62,74,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,126,0,0,144,0,0,142,0,0,183,0,0,141,0,0,174,0,0,146,0,0,29
,,,,,’g–[•‰‰×,0.68,-60,-179,0.64,-68,-206,0.67,-69,-208,0.66,-62,-236,0.68,-44,-169,0.66,-45,-200,0.66,-52,-179,0.63,-26,-26
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,65,0,0.59,101,0,0.59,106,0,0.6,109,0,0.63,103,0,0.66,80,0,0.63,118,0,0.65,77,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,308,0,0,271,0,0,273,0.22,16,239,0.03,3,251,0.34,38,38,0.67,17,435,0.84,13,13
,,,,,’g–[•‰‰×,0.95,-39,-381,0.9,-44,-352,1.06,-21,-329,1.06,-7,-242,0.98,-13,-288,0.98,-25,-25,0.93,-31,-413,0.79,-18,-18
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,150,0,0.6,232,0,0.75,129,0,0.75,160,0,0.74,124,0,0.91,103,0,0.8,148,0,0.91,92,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,90,0,0,103,0,0,121,0,0,120,0,0,229,0,0,202,0,0,237,0,0,349
,,,,,’g–[•‰‰×,0.91,-189,-364,0.84,-207,-389,0.8,-233,-427,0.78,-246,-436,0.78,-232,-505,0.8,-156,-408,0.77,-135,-406,0.7,-79,-458
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,240,0,0.82,147,0,0.66,219,0,0.66,236,0,0.68,324,0,0.75,161,0,0.65,245,0,0.69,117,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,156,0,0,224,0,0,177,0,0,214,0,0,201,0,0,237,0,0,239,0,0,368
,,,,,’g–[•‰‰×,0.82,-141,-357,0.92,-103,-376,0.78,-166,-399,0.83,-137,-399,0.81,-120,-361,0.81,-107,-379,0.82,-96,-364,0.9,-26,-414
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.93,86,0,0.78,169,0,0.6,215,0,0.59,242,0,0.68,227,0,0.78,174,0,0.83,185,0,0.76,121,0
•a‰@“™,˜L‰º24h,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,276,-0.01,0,322,0,5,282,0.11,15,292,0.34,21,359,0.56,24,479,0.49,21,421,0.72,13,134
,,,,,’g–[•‰‰×,0.88,-16,-202,0.9,-9,-250,0.89,-9,-206,0.88,-11,-197,0.85,-15,-244,0.74,-24,-367,0.84,-18,-287,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,186,0,0,164,0,0,176,0,0,199,0,0,268,0,0,245,0,0,282,0.34,10,314
,,,,,’g–[•‰‰×,0.9,-37,-182,0.89,-37,-155,0.89,-39,-172,0.89,-38,-187,0.89,-33,-236,0.89,-28,-210,0.89,-23,-231,0.87,-12,-185
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,228,0,0,257,0,0,230,0,0,260,0.01,3,273,0.01,9,310,0,0,275,0.03,4,330
,,,,,’g–[•‰‰×,0.89,-23,-185,0.89,-22,-212,0.89,-23,-192,0.9,-20,-212,0.9,-14,-209,0.9,-13,-241,0.89,-17,-214,0.89,-8,-242
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
•a‰@“™,˜L‰º’‹,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.11,0,42,0,0,109,-0.08,-2,47,0.05,5,134,0.3,10,155,0.56,12,69,0.47,12,193,0.71,6,62
,,,,,’g–[•‰‰×,0.65,-39,-90,0.71,-20,-103,0.68,-21,-56,0.74,-10,-108,0.68,-17,-110,0.62,-16,-16,0.69,-15,-123,0.62,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,77,0,0.6,95,0,0.62,79,0,0.6,85,0,0.6,76,0,0.67,56,0,0.61,87,0,0.7,50,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,58,0,0,54,0,0,59,0,0,78,0,0,105,0,0,84,0,0,133,-0.68,7,16
,,,,,’g–[•‰‰×,0.66,-124,-194,0.66,-119,-184,0.64,-132,-199,0.63,-133,-213,0.62,-121,-216,0.65,-93,-169,0.61,-92,-207,0.65,-28,-130
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,73,0,0.62,103,0,0.58,123,0,0.56,144,0,0.59,158,0,0.66,92,0,0.6,138,0,0.62,74,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,64,0,0,67,0,0,70,0,0,94,0,0,76,0,0,103,0,0,93,0,0,116
,,,,,’g–[•‰‰×,0.68,-60,-113,0.64,-68,-124,0.67,-69,-132,0.66,-62,-142,0.68,-44,-101,0.66,-45,-124,0.66,-52,-122,0.63,-26,-108
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,65,0,0.59,101,0,0.59,106,0,0.6,109,0,0.63,103,0,0.66,80,0,0.63,118,0,0.65,77,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,176,0,0,144,0,0,136,0.22,16,141,0.03,3,112,0.34,38,236,0.67,17,283,0.84,13,28
,,,,,’g–[•‰‰×,0.95,-39,-227,0.9,-44,-202,1.06,-21,-169,1.06,-7,-122,0.98,-13,-128,0.98,-25,-219,0.93,-31,-241,0.79,-18,-18
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,150,0,0.6,232,0,0.75,129,0,0.75,160,0,0.74,124,0,0.91,103,0,0.8,148,0,0.91,92,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,48,0,0,56,0,0,60,0,0,67,0,0,155,0,0,110,0,0,139,0,0,200
,,,,,’g–[•‰‰×,0.91,-189,-301,0.84,-207,-322,0.8,-233,-346,0.78,-246,-362,0.78,-232,-410,0.8,-156,-296,0.77,-135,-289,0.7,-79,-289
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,240,0,0.82,147,0,0.66,219,0,0.66,236,0,0.68,324,0,0.75,161,0,0.65,245,0,0.69,117,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,103,0,0,107,0,0,81,0,0,124,0,0,115,0,0,114,0,0,132,0,0,226
,,,,,’g–[•‰‰×,0.82,-141,-282,0.92,-103,-237,0.78,-166,-282,0.83,-137,-289,0.81,-120,-254,0.81,-107,-235,0.82,-96,-236,0.9,-26,-251
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.93,86,0,0.78,169,0,0.6,215,0,0.59,242,0,0.68,227,0,0.78,174,0,0.83,185,0,0.76,121,0
“X•Ü“™,”„ê‘åŒ^“X,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.2,0,44,0,0,103,-0.02,0,99,0.12,7,124,0.45,13,159,0.66,12,160,0.56,12,180,0.76,5,154
,,,,,’g–[•‰‰×,0.73,-23,-23,0.74,-17,-17,0.74,-12,-12,0.77,-7,-7,0.74,-9,-9,0.68,-13,-13,0.75,-8,-8,0.7,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.66,64,0,0.65,67,0,0.65,59,0,0.72,41,0,0.67,68,0,0.74,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,242,0,0,234,0,0,335,0,0,325,0,0,419,0,0,398,0,0,96,-0.66,7,7
,,,,,’g–[•‰‰×,0.73,-81,-250,0.73,-79,-237,0.71,-85,-353,0.71,-83,-334,0.7,-75,-405,0.71,-61,-374,0.71,-50,-50,0.71,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,58,0,0.68,77,0,0.65,91,0,0.64,107,0,0.66,117,0,0.71,63,0,0.66,103,0,0.69,46,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,381,0,0,89,0,0,305,0,0,497,0,0,96,0,0,101,0,0,100,-0.02,0,106
,,,,,’g–[•‰‰×,0.73,-43,-337,0.71,-46,-46,0.72,-48,-269,0.73,-40,-447,0.74,-29,-29,0.73,-26,-26,0.73,-37,-37,0.73,-14,-14
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.65,86,0,0.66,82,0,0.7,59,0,0.67,97,0,0.72,47,0
“X•Ü“™,Ž––±Žº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.2,0,191,0,0,335,-0.02,0,319,0.12,7,59,0.45,13,87,0.66,12,89,0.56,12,103,0.76,5,82
,,,,,’g–[•‰‰×,0.73,-23,-234,0.74,-17,-314,0.74,-12,-297,0.77,-7,-7,0.74,-9,-9,0.68,-13,-13,0.75,-8,-8,0.7,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.66,64,0,0.65,67,0,0.65,59,0,0.72,41,0,0.67,68,0,0.74,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,119,0,0,121,0,0,140,0,0,144,0,0,188,0,0,179,0,0,203,-0.66,7,7
,,,,,’g–[•‰‰×,0.73,-81,-195,0.73,-79,-192,0.71,-85,-221,0.71,-83,-217,0.7,-75,-239,0.71,-61,-220,0.71,-50,-221,0.71,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,58,0,0.68,77,0,0.65,91,0,0.64,107,0,0.66,117,0,0.71,63,0,0.66,103,0,0.69,46,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,147,0,0,204,0,0,178,0,0,199,0,0,122,0,0,223,0,0,124,-0.02,0,42
,,,,,’g–[•‰‰×,0.73,-43,-167,0.71,-46,-226,0.72,-48,-207,0.73,-40,-214,0.74,-29,-120,0.73,-26,-213,0.73,-37,-126,0.73,-14,-14
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.65,86,0,0.66,82,0,0.7,59,0,0.67,97,0,0.72,47,0
“X•Ü“™,‰ï‹cŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.07,-1,76,0,0,140,0,0,127,0.09,6,120,0.34,10,34,0.51,12,44,0.45,11,52,0.64,6,43
,,,,,’g–[•‰‰×,0.58,-34,-124,0.6,-24,-156,0.6,-19,-138,0.64,-9,-104,0.61,-12,-12,0.56,-13,-13,0.62,-11,-11,0.55,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.58,65,0,0.55,83,0,0.56,71,0,0.56,73,0,0.55,66,0,0.61,51,0,0.57,75,0,0.63,45,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,58,0,0,57,0,0,58,0,0,70,0,0,102,0,0,86,0,0,118,-0.72,7,7
,,,,,’g–[•‰‰×,0.58,-114,-193,0.58,-111,-187,0.56,-120,-200,0.55,-117,-202,0.55,-105,-210,0.56,-87,-179,0.56,-71,-187,0.55,-29,-29
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.62,71,0,0.58,85,0,0.55,100,0,0.54,118,0,0.57,127,0,0.61,77,0,0.56,113,0,0.59,56,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,82,0,0,89,0,0,84,0,0,96,0,0,86,0,0,118,0,0,123,0,0,14
,,,,,’g–[•‰‰×,0.58,-61,-148,0.55,-67,-160,0.57,-68,-161,0.58,-58,-156,0.59,-42,-126,0.59,-38,-150,0.58,-52,-169,0.57,-21,-21
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.61,59,0,0.54,88,0,0.53,94,0,0.55,95,0,0.57,91,0,0.6,71,0,0.58,105,0,0.61,59,0
