様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
7F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
7F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
7F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
7F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
8F,8F事務室,事務所等,事務室,2.60 ,29.30 ,17.00 ,495.10 ,,埋込下面ルーバー,,94,128,,,センサー,,両側採光、ブラインド自動制御なし,
8F,8F事務室,事務所等,事務室,2.60 ,29.30 ,17.00 ,495.10 ,,埋込下面ルーバー,,47,32,,,センサー,,両側採光、ブラインド自動制御なし,
8F,セミナールーム,事務所等,事務室,2.60 ,7.70 ,17.00 ,127.90 ,,埋込下面ルーバー,,94,32,,,センサー,,両側採光、ブラインド自動制御なし,
8F,セミナールーム,事務所等,事務室,2.60 ,7.70 ,17.00 ,127.90 ,,埋込下面ルーバー,,47,8,,,センサー,,両側採光、ブラインド自動制御なし,
8F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
8F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
8F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
8F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
8F,機械室1,事務所等,電気・機械室（標準）,4.00 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
8F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
8F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
8F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
8F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
8F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
8F,8FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
8F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
8F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
8F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
8F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
8F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
8F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
8F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
8F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
8F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
8F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
9F,9F食堂,事務所等,社食,2.60 ,,,520.40 ,4.8 ,埋込下面ルーバー,,94,134,,,,,,
9F,9F食堂,事務所等,社食,2.60 ,,,520.40 ,11.3 ,埋込下面ルーバー,,47,40,,,,,,
9F,厨房,事務所等,社食,2.60 ,,,102.60 ,2.7 ,埋込下面ルーバー,,94,26,,,,,,
9F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
9F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
9F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
9F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
9F,機械室1,事務所等,電気・機械室（標準）,4.00 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
9F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
9F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
9F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
9F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
9F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
9F,9FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
9F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
9F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
9F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
9F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
9F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
9F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
9F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
9F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
9F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
9F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
PHF,EV機械室,事務所等,電気・機械室（標準）,4.00 ,6.00 ,8.00 ,48.00 ,,反射笠付,,95,8,,,,,,
